ID,Name,Description,Owner.ID,Owner.Rest,Tracks.Href,Tracks.Total,Rest
3q9mCvX87pc1iSQmNJ8vQq,Best of: Amorphis,,jakobjankamminga,null,https://api.spotify.com/v1/playlists/3q9mCvX87pc1iSQmNJ8vQq/tracks,20,null
3rVfkqjRH1UBeDZdWWI3Ny,Best of: Behemoth,,jakobjankamminga,null,https://api.spotify.com/v1/playlists/3rVfkqjRH1UBeDZdWWI3Ny/tracks,9,null
7F0EQtLzr1KOj8ZeJD4tlz,Mastodon,,jakobjankamminga,null,https://api.spotify.com/v1/playlists/7F0EQtLzr1KOj8ZeJD4tlz/tracks,74,null
6n9rTx4k7pN6cvthJa45Bc,Dreamland,,jakobjankamminga,null,https://api.spotify.com/v1/playlists/6n9rTx4k7pN6cvthJa45Bc/tracks,8,null
2Lq7YxJK4SCTxGorCdFmcf,Deus Ex Machina,,jakobjankamminga,null,https://api.spotify.com/v1/playlists/2Lq7YxJK4SCTxGorCdFmcf/tracks,22,null
6ivY3mGgcGVssnQXj7w9qC,Contemplative ambient,,jakobjankamminga,null,https://api.spotify.com/v1/playlists/6ivY3mGgcGVssnQXj7w9qC/tracks,23,null
1eGqLKfTqm2tkbTtcRVzu6,American 50's & 60's,,jakobjankamminga,null,https://api.spotify.com/v1/playlists/1eGqLKfTqm2tkbTtcRVzu6/tracks,6,null
2i3RWF6bXtSXnGapKutfKm,Trippy music +,,jakobjankamminga,null,https://api.spotify.com/v1/playlists/2i3RWF6bXtSXnGapKutfKm/tracks,20,null
3TuEsHkJBwfLo1vvF5GfsU,Trippy music -,,jakobjankamminga,null,https://api.spotify.com/v1/playlists/3TuEsHkJBwfLo1vvF5GfsU/tracks,15,null
0CQZEAiTznbuPCtEX5JXVG,Future Living,,jakobjankamminga,null,https://api.spotify.com/v1/playlists/0CQZEAiTznbuPCtEX5JXVG/tracks,7,null
6PBqH6WCOv86Rpqa00CJGS,First Class Chillout,,jakobjankamminga,null,https://api.spotify.com/v1/playlists/6PBqH6WCOv86Rpqa00CJGS/tracks,18,null
1TO05UYff9piwHeDacsmiD,focus with Einaudi,"This week we'll focus on/with the music of Ludovico Einaudi :)! Ambient classical and neoclassical music to help you work and study effectively. <a href=""http://www.sinfinimusic.com/nl"">Discover more classical music on Classics To Go.</a> ",sinfinimusic.nl,null,https://api.spotify.com/v1/playlists/1TO05UYff9piwHeDacsmiD/tracks,113,null
5TJbJo7MKp6XoLNHzg2qsB,Chillout,,jakobjankamminga,null,https://api.spotify.com/v1/playlists/5TJbJo7MKp6XoLNHzg2qsB/tracks,17,null
2Dmi1VhzoLvw2NVx7dkSTf,The Story Of Trojan Records,,1133889344,null,https://api.spotify.com/v1/playlists/2Dmi1VhzoLvw2NVx7dkSTf/tracks,123,null
